1	32763.00, 206.06
10	89089.00, 22.67
12	406.00, 406.00
14	3855289.00, 46.59
16	459036.00, 24.20
18	124396.00, 90.01
21	7503278.00, 58.59
23	55647.00, 50.73
25	5118.00, 204.72
27	65592.00, 133.86
29	249.00, 83.00
3	30716.00, 333.87
30	4647.00, 98.87
32	454.00, 16.81
34	20.00, 20.00
36	0.00, 0.00
38	7220572.00, 64.22
41	22481.00, 56.06
43	621.00, 14.11
45	98439.00, 37.77
47	297639.00, 26.42
49	7783.00, 64.86
5	120.00, 0.01
50	631033.00, 67.63
52	7486.00, 65.10
54	1.00, 1.00
56	11940.00, 72.36
58	281.00, 70.25
61	86092.00, 83.10
63	2220.00, 60.00
65	1515.00, 68.86
67	275835.00, 79.31
69	326749.00, 14.59
7	0.00, 0.00
70	1697972.00, 76.27
72	162039.00, 71.92
74	733297.00, 73.65
76	111.00, 27.75
78	341710.00, 65.25
81	128.00, 16.00
83	47289.00, 64.51
85	169305.00, 75.31
89	4476.00, 13.94
9	25174.00, 34.34
90	487.00, 81.17
92	1139.00, 284.75
94	392.00, 3.47
96	652.00, 81.50
98	337535.00, 86.15
999	246785.51, 85.51
AGC	255.00, 51.00
APP	96574.46, 63.12
AYG	75.00, 18.75
BOB	0.00, 0.00
BOT	115.00, 115.00
CCK	250.00, 125.00
CME	2485.00, 95.58
COM	805689.46, 23.07
FAR	250.00, 125.00
GAC	55.00, 55.00
IRP	70293.34, 40.47
ITP	20299.78, 91.85
NLM	120.00, 30.00
OMO	55.00, 27.50
OMS	109146.86, 47.39
PHS	3880.00, 73.21
PSD	14636.63, 53.81
RGL	4176.95, 31.89
SEM	791.32, 46.55
SOS	514.76, 102.95
SRF	51035.10, 23.48
SRN	434.98, 5.51
THC	1545.00, 103.00
TRA	14855.19, 83.46
TRC	40474.38, 71.01
USC	250.00, 125.00
11	13579.00, 40.29
13	53702.00, 23.72
15	581.00, 193.67
17	398845.00, 50.31
19	1748108.00, 64.34
2	427.00, 85.40
20	3863287.00, 62.40
24	447493.00, 80.20
26	1652.00, 24.29
28	84.00, 84.00
31	256734.00, 16.87
35	3888.00, 12.38
37	4029569.00, 57.87
39	52337.00, 65.75
4	98.00, 1.14
40	2866031.00, 63.78
42	122812.00, 14.38
44	77.00, 77.00
46	2847745.00, 50.50
48	269499.00, 42.12
51	394903.00, 63.31
53	137433.00, 45.92
55	2396.00, 66.56
59	1113.00, 37.10
6	389.00, 16.91
60	33262.00, 65.48
62	50625.00, 99.07
64	72610.00, 65.24
66	128295.00, 53.68
68	134259.00, 99.60
71	2981723.00, 76.11
73	31312.00, 61.52
75	49508.00, 68.19
77	84145.00, 51.94
79	59316.00, 245.11
8	6075.00, 24.40
80	50813.00, 88.52
82	98200.00, 28.86
84	141138.00, 21.58
86	368.00, 61.33
88	1021.00, 72.93
91	14983.00, 75.29
95	1486.00, 92.88
97	268.00, 26.80
99	82982.00, 249.20
AGR	699.07, 58.26
AMB	0.00, 0.00
ARG	0.00, 0.00
CBS	5560.00, 86.88
CHC	165.00, 9.17
CLG	200.00, 100.00
CMB	42301.89, 69.01
CMH	19155.00, 102.98
CSP	12170.00, 102.27
DLR	9448.09, 59.80
HAM	335.23, 67.05
HIS	1059.22, 33.10
LMA	0.00, 0.00
LTR	0.00, 0.00
MCD	280.00, 70.00
MCL	2710.00, 69.49
MED	2905.97, 16.14
MOT	31955.93, 46.31
NYA	0.00, 0.00
NYC	580.00, 72.50
OMF	990.00, 82.50
OML	6877.13, 26.66
OMR	32657.33, 43.37
OMT	448224.45, 33.67
OMV	325.00, 108.33
ORC	355.00, 39.44
ORG	9887.01, 26.09
ORM	75.00, 75.00
PAS	9482469.38, 35.82
PPH	45.00, 45.00
RGC	0.00, 0.00
SCL	358.58, 6.18
SPC	353.16, 29.43
SPO	4907.45, 23.48
STA	2025.51, 135.03
STG	0.00, 0.00
TOW	7381.09, 24.94
TRL	11459.07, 71.62
VAS	3452.38, 29.51
VPL	0.00, 0.00
